epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.058,1.28351,0.95239,1.27651,0.90569,0.88596,0.93816,0.68726,0.96949,0.52122,1.0338,0.00333101,0.00333101,0.00333101
2,602.379,1.15988,0.75467,1.16929,0.87467,0.86923,0.90735,0.63932,1.05417,0.63428,1.0687,0.00663795,0.00663795,0.00663795
3,900.274,1.20928,0.8451,1.20432,0.84948,0.85439,0.89892,0.63042,1.03751,0.74364,1.09878,0.00991849,0.00991849,0.00991849
4,1196.51,1.21825,0.86874,1.21958,0.895,0.87325,0.92539,0.64612,1.05455,0.61781,1.10023,0.0098812,0.0098812,0.0098812
5,1494.27,1.16803,0.78961,1.19832,0.9009,0.89932,0.93436,0.67694,0.98569,0.5586,1.07583,0.0098416,0.0098416,0.0098416
6,1795.24,1.11759,0.73422,1.17555,0.91784,0.90373,0.9459,0.68324,0.99175,0.528,1.07344,0.009802,0.009802,0.009802
7,2096.45,1.09279,0.70361,1.16102,0.92183,0.90345,0.95023,0.70449,0.9439,0.50676,1.05595,0.0097624,0.0097624,0.0097624
8,2395.45,1.07254,0.67914,1.14703,0.91352,0.90249,0.94769,0.71018,0.91342,0.48955,1.04437,0.0097228,0.0097228,0.0097228
9,2695.41,1.04829,0.65531,1.13888,0.92653,0.91857,0.95574,0.72187,0.90665,0.46247,1.03348,0.0096832,0.0096832,0.0096832
10,2991.79,1.03047,0.6341,1.12961,0.92822,0.927,0.96134,0.72331,0.90646,0.45208,1.03725,0.0096436,0.0096436,0.0096436
11,3290.32,1.02145,0.61902,1.12018,0.92529,0.93742,0.9619,0.73721,0.87781,0.43586,1.01351,0.009604,0.009604,0.009604
12,3589.72,1.01242,0.60717,1.10359,0.93627,0.92619,0.96595,0.74426,0.87093,0.4268,1.00789,0.0095644,0.0095644,0.0095644
13,3888.18,0.99982,0.59192,1.1016,0.94467,0.9245,0.96939,0.74995,0.85953,0.40868,1.00592,0.0095248,0.0095248,0.0095248
14,4187.03,0.99618,0.58642,1.10253,0.94774,0.93381,0.97146,0.7584,0.85886,0.40165,1.00492,0.0094852,0.0094852,0.0094852
15,4484.11,0.98071,0.57471,1.09352,0.94446,0.94814,0.97147,0.75894,0.84483,0.39612,0.99659,0.0094456,0.0094456,0.0094456
16,4780.25,0.97429,0.56865,1.09541,0.93842,0.94986,0.97157,0.76048,0.84001,0.38788,1.00334,0.009406,0.009406,0.009406
17,5075.45,0.96355,0.55337,1.08893,0.93817,0.94665,0.97022,0.76225,0.83717,0.38033,1.00185,0.0093664,0.0093664,0.0093664
18,5370.8,0.96052,0.5483,1.0859,0.94746,0.94665,0.97573,0.76926,0.82464,0.36976,0.98786,0.0093268,0.0093268,0.0093268
19,5666.13,0.95442,0.54181,1.08642,0.94561,0.95909,0.97592,0.77145,0.81809,0.36492,0.98918,0.0092872,0.0092872,0.0092872
20,5961.51,0.95087,0.54011,1.07698,0.93998,0.95668,0.97635,0.77612,0.81198,0.36603,0.98121,0.0092476,0.0092476,0.0092476
21,6256.86,0.94887,0.53286,1.07367,0.9469,0.95141,0.97698,0.78061,0.80177,0.35918,0.97302,0.009208,0.009208,0.009208
22,6552.14,0.93964,0.52762,1.06689,0.94348,0.95755,0.97595,0.78256,0.79583,0.35489,0.97367,0.0091684,0.0091684,0.0091684
23,6847.38,0.93027,0.51802,1.06164,0.93745,0.9619,0.97881,0.78238,0.79709,0.35089,0.96582,0.0091288,0.0091288,0.0091288
24,7142.56,0.93034,0.51659,1.05927,0.94019,0.9635,0.97975,0.78594,0.78651,0.34373,0.96346,0.0090892,0.0090892,0.0090892
25,7437.74,0.92438,0.5154,1.05621,0.94248,0.96609,0.978,0.78817,0.77979,0.34057,0.96264,0.0090496,0.0090496,0.0090496
26,7733.11,0.91872,0.50955,1.06038,0.94687,0.96511,0.97907,0.79309,0.77448,0.33545,0.96297,0.00901,0.00901,0.00901
27,8028.44,0.91878,0.50638,1.05704,0.94767,0.9651,0.98199,0.79425,0.77311,0.33395,0.96295,0.0089704,0.0089704,0.0089704
28,8323.69,0.91529,0.50248,1.05694,0.94433,0.96621,0.98121,0.79357,0.77177,0.33294,0.96104,0.0089308,0.0089308,0.0089308
29,8618.87,0.90491,0.49898,1.05285,0.94578,0.9656,0.98092,0.79583,0.76912,0.33184,0.95926,0.0088912,0.0088912,0.0088912
30,8914.23,0.90082,0.494,1.05132,0.94909,0.9639,0.9792,0.79449,0.76613,0.3276,0.95883,0.0088516,0.0088516,0.0088516
31,9209.58,0.89893,0.4933,1.04535,0.9501,0.96235,0.98046,0.795,0.76137,0.32817,0.95427,0.008812,0.008812,0.008812
32,9504.82,0.89927,0.49091,1.05668,0.94977,0.96951,0.98198,0.7984,0.75426,0.32249,0.95692,0.0087724,0.0087724,0.0087724
33,9799.94,0.89018,0.4847,1.04903,0.94989,0.97152,0.98254,0.80237,0.74856,0.31884,0.95212,0.0087328,0.0087328,0.0087328
34,10095.3,0.89062,0.48126,1.044,0.95429,0.97032,0.98424,0.80417,0.74756,0.31567,0.95159,0.0086932,0.0086932,0.0086932
35,10390.5,0.89188,0.48229,1.04406,0.95637,0.9672,0.98422,0.80547,0.74709,0.31516,0.95256,0.0086536,0.0086536,0.0086536
36,10686.1,0.88485,0.47969,1.04462,0.95787,0.96679,0.98411,0.80612,0.74505,0.31312,0.95244,0.008614,0.008614,0.008614
37,10981.4,0.88595,0.476,1.03903,0.95818,0.96508,0.98332,0.80581,0.74191,0.3113,0.94839,0.0085744,0.0085744,0.0085744
38,11276.7,0.87699,0.47191,1.03527,0.96021,0.9635,0.98357,0.80686,0.73959,0.30914,0.94702,0.0085348,0.0085348,0.0085348
39,11572,0.87682,0.47125,1.03223,0.95996,0.9655,0.98365,0.80828,0.73658,0.30682,0.94491,0.0084952,0.0084952,0.0084952
40,11867.4,0.86941,0.46546,1.03369,0.9561,0.96979,0.98411,0.8098,0.73584,0.30659,0.94515,0.0084556,0.0084556,0.0084556
41,12162.8,0.86844,0.46436,1.03063,0.95717,0.96791,0.98403,0.81038,0.73338,0.30614,0.94406,0.008416,0.008416,0.008416
42,12457.9,0.86428,0.46424,1.03166,0.95701,0.96911,0.98376,0.81035,0.73135,0.30491,0.94332,0.0083764,0.0083764,0.0083764
43,12753.1,0.86744,0.46365,1.02881,0.95836,0.96931,0.98378,0.81248,0.72893,0.30434,0.94183,0.0083368,0.0083368,0.0083368
44,13048.4,0.86024,0.45751,1.02613,0.9621,0.96728,0.98462,0.81371,0.72624,0.30277,0.94076,0.0082972,0.0082972,0.0082972
45,13343.5,0.85634,0.45617,1.02331,0.96081,0.96831,0.98444,0.81337,0.7241,0.3029,0.93989,0.0082576,0.0082576,0.0082576
46,13638.7,0.85385,0.45374,1.02779,0.9587,0.96832,0.98386,0.81412,0.72319,0.30216,0.93965,0.008218,0.008218,0.008218
47,13934,0.85473,0.44849,1.0266,0.95626,0.97072,0.9834,0.81403,0.72155,0.30139,0.93892,0.0081784,0.0081784,0.0081784
48,14229.3,0.85466,0.45527,1.02024,0.95774,0.97072,0.98408,0.81359,0.72066,0.3006,0.93803,0.0081388,0.0081388,0.0081388
49,14524.5,0.84959,0.44702,1.01993,0.95809,0.97072,0.98414,0.81439,0.7192,0.30044,0.93748,0.0080992,0.0080992,0.0080992
50,14819.7,0.84714,0.44618,1.02294,0.9599,0.9651,0.98433,0.81637,0.71761,0.30001,0.93722,0.0080596,0.0080596,0.0080596
51,15115,0.84536,0.44734,1.01836,0.95973,0.96562,0.98431,0.81665,0.71633,0.29904,0.9365,0.00802,0.00802,0.00802
52,15410.2,0.83825,0.43873,1.01569,0.95818,0.96951,0.98434,0.81726,0.71471,0.29899,0.93566,0.0079804,0.0079804,0.0079804
53,15705.4,0.83481,0.44298,1.01545,0.96052,0.96627,0.98493,0.81746,0.71402,0.29775,0.93528,0.0079408,0.0079408,0.0079408
54,16000.8,0.83448,0.4389,1.01284,0.96109,0.9659,0.98489,0.81731,0.71292,0.29745,0.93445,0.0079012,0.0079012,0.0079012
55,16295.9,0.83299,0.43563,1.0147,0.9609,0.966,0.98385,0.81766,0.7119,0.29705,0.93393,0.0078616,0.0078616,0.0078616
56,16591.2,0.83405,0.43999,1.01974,0.96061,0.96631,0.98383,0.81875,0.71036,0.29636,0.93353,0.007822,0.007822,0.007822
57,16886.6,0.82971,0.43648,1.01853,0.96147,0.96631,0.9851,0.81881,0.70987,0.2962,0.93308,0.0077824,0.0077824,0.0077824
58,17182,0.82559,0.4337,1.0107,0.96208,0.96681,0.98521,0.8197,0.70824,0.29517,0.93217,0.0077428,0.0077428,0.0077428
59,17477.4,0.82486,0.43277,1.00853,0.96286,0.96701,0.98526,0.81962,0.70704,0.29481,0.93146,0.0077032,0.0077032,0.0077032
60,17772.5,0.82627,0.43089,1.00972,0.96326,0.96745,0.98525,0.81979,0.70585,0.2943,0.93093,0.0076636,0.0076636,0.0076636
