epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,18067.8,0.82363,0.42932,1.00772,0.96294,0.96791,0.98527,0.82062,0.70484,0.29361,0.93049,0.007624,0.007624,0.007624
62,18363.3,0.82319,0.43109,1.00732,0.96288,0.96992,0.98555,0.82065,0.70393,0.2924,0.93022,0.0075844,0.0075844,0.0075844
63,18658.4,0.82144,0.43044,1.00816,0.96372,0.96968,0.9853,0.82114,0.70242,0.29159,0.92968,0.0075448,0.0075448,0.0075448
64,18953.6,0.81685,0.42905,1.00355,0.9638,0.96951,0.98567,0.82181,0.70113,0.29141,0.92929,0.0075052,0.0075052,0.0075052
65,19249,0.8115,0.42257,1.00389,0.96474,0.96951,0.98551,0.82173,0.69989,0.2906,0.92899,0.0074656,0.0074656,0.0074656
66,19545.9,0.81522,0.42308,1.00416,0.96523,0.96868,0.98602,0.82217,0.69847,0.29075,0.92856,0.007426,0.007426,0.007426
67,19843.2,0.81036,0.4217,1.00183,0.96557,0.9673,0.9861,0.82309,0.69715,0.29026,0.92818,0.0073864,0.0073864,0.0073864
68,20140.7,0.80582,0.41871,1.0034,0.96483,0.96849,0.98652,0.82315,0.69597,0.28973,0.92801,0.0073468,0.0073468,0.0073468
69,20436.9,0.80559,0.41851,1.00132,0.96522,0.96857,0.98634,0.82353,0.69471,0.28964,0.92736,0.0073072,0.0073072,0.0073072
70,20733.5,0.8013,0.41811,1.00445,0.9658,0.96911,0.9864,0.82424,0.69387,0.28909,0.92726,0.0072676,0.0072676,0.0072676
71,21029.6,0.80453,0.41747,1.00234,0.96569,0.96951,0.98645,0.8244,0.69316,0.28853,0.92731,0.007228,0.007228,0.007228
72,21326,0.8,0.4161,1.00262,0.96436,0.97112,0.9865,0.82481,0.69234,0.28766,0.92723,0.0071884,0.0071884,0.0071884
73,21621.5,0.80239,0.41528,0.99945,0.96534,0.97112,0.98655,0.82541,0.69054,0.28685,0.92648,0.0071488,0.0071488,0.0071488
74,21916.8,0.79236,0.41348,0.99523,0.96493,0.97131,0.98667,0.82573,0.68936,0.28621,0.92573,0.0071092,0.0071092,0.0071092
75,22212,0.7967,0.41224,0.98493,0.96529,0.9706,0.98668,0.82621,0.68816,0.28543,0.92498,0.0070696,0.0070696,0.0070696
76,22507.4,0.79269,0.41152,0.99334,0.9653,0.97068,0.98645,0.82756,0.68704,0.28546,0.92427,0.00703,0.00703,0.00703
77,22802.6,0.78768,0.40922,0.99488,0.96491,0.97067,0.9863,0.82758,0.68598,0.28459,0.92401,0.0069904,0.0069904,0.0069904
78,23097.9,0.78585,0.40826,0.99233,0.96531,0.97099,0.98621,0.82732,0.68502,0.28382,0.92359,0.0069508,0.0069508,0.0069508
79,23393.1,0.78878,0.40927,0.99561,0.96568,0.97077,0.98631,0.82829,0.68363,0.2835,0.92308,0.0069112,0.0069112,0.0069112
80,23688.2,0.78461,0.40921,0.99906,0.96567,0.97026,0.98636,0.8283,0.68237,0.28303,0.92268,0.0068716,0.0068716,0.0068716
81,23983.3,0.77999,0.40273,0.99518,0.96559,0.97152,0.98647,0.82863,0.68095,0.28281,0.92239,0.006832,0.006832,0.006832
82,24278.6,0.77969,0.40538,0.99508,0.96609,0.97133,0.98654,0.82922,0.67975,0.28196,0.92203,0.0067924,0.0067924,0.0067924
83,24573.6,0.78355,0.40659,0.99591,0.96545,0.97272,0.98657,0.829,0.67861,0.2814,0.92175,0.0067528,0.0067528,0.0067528
84,24868.8,0.77904,0.4034,0.99087,0.96539,0.97344,0.98654,0.8302,0.67753,0.28091,0.92127,0.0067132,0.0067132,0.0067132
85,25164.2,0.77523,0.40193,0.98924,0.96553,0.97353,0.98661,0.83077,0.67635,0.28048,0.92076,0.0066736,0.0066736,0.0066736
86,25459.3,0.77278,0.39845,0.98587,0.96696,0.97232,0.9867,0.83101,0.6751,0.2796,0.9203,0.006634,0.006634,0.006634
87,25754.7,0.77228,0.39802,0.98664,0.96708,0.97232,0.98686,0.83203,0.67373,0.27925,0.91982,0.0065944,0.0065944,0.0065944
88,26050,0.77243,0.40086,0.99103,0.96766,0.97213,0.98686,0.83178,0.67254,0.27819,0.91932,0.0065548,0.0065548,0.0065548
89,26345.2,0.7704,0.39712,0.98938,0.96768,0.97292,0.98693,0.83278,0.67144,0.27795,0.91895,0.0065152,0.0065152,0.0065152
90,26640.4,0.76953,0.39507,0.9837,0.96709,0.97353,0.98706,0.83258,0.67025,0.27761,0.91848,0.0064756,0.0064756,0.0064756
91,26935.6,0.76747,0.39578,0.98145,0.96731,0.97332,0.98734,0.83395,0.66855,0.27742,0.91785,0.006436,0.006436,0.006436
92,27231,0.75932,0.39126,0.97857,0.96868,0.97272,0.98761,0.83429,0.66643,0.27678,0.91714,0.0063964,0.0063964,0.0063964
93,27526.1,0.76409,0.39214,0.98251,0.97034,0.97096,0.98781,0.83548,0.66492,0.27625,0.91685,0.0063568,0.0063568,0.0063568
94,27821.4,0.75928,0.38917,0.9838,0.97116,0.97249,0.98786,0.83623,0.66342,0.27611,0.91629,0.0063172,0.0063172,0.0063172
95,28116.6,0.76032,0.39416,0.9788,0.97084,0.97312,0.98798,0.83613,0.66148,0.27569,0.91555,0.0062776,0.0062776,0.0062776
96,28411.8,0.75622,0.39092,0.97834,0.97098,0.97312,0.98807,0.83674,0.66002,0.27452,0.91495,0.006238,0.006238,0.006238
97,28707.1,0.7553,0.38919,0.97463,0.97068,0.97312,0.98814,0.83687,0.65901,0.27409,0.91445,0.0061984,0.0061984,0.0061984
98,29002.3,0.7537,0.38704,0.97596,0.97078,0.97297,0.98821,0.83765,0.6576,0.27321,0.91359,0.0061588,0.0061588,0.0061588
99,29297.5,0.75405,0.38617,0.97661,0.9705,0.97272,0.98815,0.8383,0.65629,0.2725,0.91296,0.0061192,0.0061192,0.0061192
100,29592.8,0.74966,0.38577,0.97091,0.97093,0.97272,0.9881,0.83848,0.6552,0.27233,0.91243,0.0060796,0.0060796,0.0060796
101,29888,0.74868,0.38287,0.97415,0.97124,0.97272,0.98803,0.83918,0.65394,0.27181,0.91182,0.00604,0.00604,0.00604
102,30183.2,0.748,0.38611,0.97743,0.97144,0.97272,0.98798,0.83938,0.65274,0.27147,0.91133,0.0060004,0.0060004,0.0060004
103,30478.5,0.7449,0.38385,0.97196,0.97154,0.97225,0.98792,0.84031,0.65131,0.27076,0.91087,0.0059608,0.0059608,0.0059608
104,30773.8,0.74434,0.38093,0.96972,0.97231,0.97198,0.98796,0.83994,0.65007,0.27028,0.91034,0.0059212,0.0059212,0.0059212
105,31068.9,0.74556,0.38291,0.972,0.97338,0.97272,0.98805,0.83971,0.64854,0.26963,0.90985,0.0058816,0.0058816,0.0058816
106,31364.1,0.73765,0.3785,0.9706,0.9735,0.97255,0.98836,0.84124,0.64713,0.26925,0.9093,0.005842,0.005842,0.005842
107,31659.1,0.73868,0.38006,0.96758,0.97311,0.97253,0.9883,0.84198,0.64577,0.26883,0.90879,0.0058024,0.0058024,0.0058024
108,31954.4,0.73524,0.37706,0.96896,0.97304,0.97272,0.98834,0.84214,0.64471,0.26861,0.90824,0.0057628,0.0057628,0.0057628
109,32249.6,0.73635,0.37706,0.97047,0.97311,0.97265,0.98821,0.84217,0.64322,0.26768,0.90779,0.0057232,0.0057232,0.0057232
110,32544.8,0.73304,0.37773,0.96206,0.9735,0.97266,0.98881,0.84241,0.64209,0.26699,0.90722,0.0056836,0.0056836,0.0056836
111,32840,0.73102,0.37411,0.96589,0.97299,0.97272,0.98886,0.84342,0.64042,0.26722,0.90656,0.005644,0.005644,0.005644
112,33135.1,0.73529,0.37784,0.96781,0.9715,0.97393,0.98885,0.84377,0.63922,0.26675,0.9061,0.0056044,0.0056044,0.0056044
113,33430.1,0.72938,0.37318,0.96162,0.97119,0.97372,0.98888,0.84346,0.63818,0.26637,0.90526,0.0055648,0.0055648,0.0055648
114,33725.2,0.72608,0.37105,0.96004,0.97189,0.97232,0.98849,0.84394,0.63693,0.26572,0.90458,0.0055252,0.0055252,0.0055252
115,34020.5,0.72042,0.36842,0.96326,0.97193,0.97231,0.98857,0.84447,0.636,0.26502,0.90408,0.0054856,0.0054856,0.0054856
116,34315.8,0.72421,0.37185,0.96639,0.97234,0.97312,0.98905,0.84547,0.63495,0.26395,0.90401,0.005446,0.005446,0.005446
117,34611,0.72303,0.36959,0.969,0.97287,0.97232,0.98909,0.84526,0.63376,0.26379,0.90361,0.0054064,0.0054064,0.0054064
118,34906.2,0.72142,0.37062,0.96487,0.97383,0.97026,0.9891,0.8461,0.63257,0.26329,0.90321,0.0053668,0.0053668,0.0053668
119,35201.3,0.71786,0.3684,0.96174,0.97468,0.96951,0.98916,0.84704,0.63088,0.26265,0.90267,0.0053272,0.0053272,0.0053272
120,35496.6,0.71398,0.36515,0.95863,0.97421,0.96959,0.98907,0.847,0.62943,0.26239,0.90217,0.0052876,0.0052876,0.0052876
121,35791.7,0.71759,0.36936,0.96111,0.97521,0.96992,0.98929,0.84749,0.6279,0.2623,0.9015,0.005248,0.005248,0.005248
122,36086.8,0.71398,0.36534,0.96186,0.97579,0.9701,0.98924,0.84855,0.62666,0.26136,0.90096,0.0052084,0.0052084,0.0052084
123,36382.1,0.71471,0.36645,0.95905,0.9758,0.97035,0.98933,0.84928,0.62494,0.26063,0.90025,0.0051688,0.0051688,0.0051688
124,36677.2,0.71058,0.36274,0.95962,0.9762,0.97057,0.98935,0.84964,0.62354,0.26064,0.89975,0.0051292,0.0051292,0.0051292
125,36972.5,0.70946,0.36351,0.95764,0.97573,0.97032,0.98934,0.85081,0.62219,0.25957,0.89922,0.0050896,0.0050896,0.0050896
126,37267.8,0.70913,0.36054,0.95611,0.97537,0.97032,0.98938,0.85112,0.62078,0.25897,0.89859,0.00505,0.00505,0.00505
127,37562.9,0.7058,0.36101,0.95292,0.97577,0.97032,0.98943,0.85146,0.61948,0.25861,0.89795,0.0050104,0.0050104,0.0050104
128,37858.2,0.69786,0.35501,0.95144,0.97685,0.96992,0.98945,0.85145,0.61793,0.25797,0.89734,0.0049708,0.0049708,0.0049708
129,38153.3,0.70644,0.35958,0.95628,0.9762,0.97076,0.98943,0.85184,0.61646,0.25717,0.89673,0.0049312,0.0049312,0.0049312
130,38448.5,0.70221,0.357,0.95583,0.97582,0.97124,0.98945,0.85281,0.6151,0.25707,0.89634,0.0048916,0.0048916,0.0048916
131,38743.6,0.69904,0.35779,0.95481,0.97631,0.97112,0.98952,0.85343,0.61381,0.25646,0.89587,0.004852,0.004852,0.004852
132,39038.9,0.69475,0.35461,0.95344,0.97697,0.97012,0.98956,0.85439,0.61255,0.25621,0.8955,0.0048124,0.0048124,0.0048124
133,39334.2,0.69629,0.3558,0.95351,0.97734,0.96992,0.98964,0.85447,0.61105,0.25496,0.895,0.0047728,0.0047728,0.0047728
134,39629.4,0.6939,0.35641,0.95288,0.97574,0.97112,0.98971,0.85465,0.60982,0.25463,0.89443,0.0047332,0.0047332,0.0047332
135,39924.5,0.69294,0.35339,0.94888,0.97581,0.9709,0.98971,0.85517,0.60824,0.25447,0.89376,0.0046936,0.0046936,0.0046936
136,40219.8,0.69073,0.35373,0.95142,0.97544,0.97165,0.98974,0.85542,0.60685,0.25412,0.89311,0.004654,0.004654,0.004654
137,40515,0.6916,0.35192,0.94984,0.9745,0.97232,0.98977,0.85593,0.60569,0.25429,0.89253,0.0046144,0.0046144,0.0046144
138,40810,0.687,0.34986,0.95076,0.97468,0.97264,0.98977,0.85618,0.6039,0.25379,0.89194,0.0045748,0.0045748,0.0045748
139,41105.3,0.68407,0.35037,0.9478,0.97434,0.97272,0.98984,0.85667,0.60241,0.25311,0.8914,0.0045352,0.0045352,0.0045352
140,41400.4,0.68223,0.34798,0.94587,0.97527,0.97232,0.98983,0.85725,0.60133,0.25273,0.89113,0.0044956,0.0044956,0.0044956
141,41695.8,0.68362,0.34947,0.94895,0.97558,0.97192,0.98998,0.85779,0.59984,0.25177,0.89064,0.004456,0.004456,0.004456
142,41990.9,0.67957,0.34586,0.94285,0.97547,0.97321,0.98998,0.85799,0.59836,0.25111,0.89005,0.0044164,0.0044164,0.0044164
143,42286.1,0.67419,0.34436,0.94381,0.97586,0.97295,0.99009,0.85904,0.59721,0.25075,0.8897,0.0043768,0.0043768,0.0043768
144,42581.5,0.67248,0.34245,0.9451,0.97549,0.97393,0.99007,0.85985,0.59554,0.24983,0.88916,0.0043372,0.0043372,0.0043372
145,42876.5,0.67512,0.34332,0.94094,0.97549,0.97382,0.99016,0.86,0.59433,0.24942,0.88857,0.0042976,0.0042976,0.0042976
146,43171.8,0.67133,0.34209,0.94119,0.97535,0.97312,0.99019,0.86042,0.59327,0.24933,0.88812,0.004258,0.004258,0.004258
147,43467.1,0.67179,0.34104,0.93895,0.97582,0.97353,0.99023,0.86125,0.59203,0.24821,0.88768,0.0042184,0.0042184,0.0042184
148,43762.2,0.67103,0.34304,0.93988,0.9763,0.97312,0.99018,0.86199,0.59065,0.24808,0.88737,0.0041788,0.0041788,0.0041788
149,44057.7,0.66547,0.3392,0.93841,0.97617,0.97353,0.99021,0.86281,0.5896,0.24779,0.88715,0.0041392,0.0041392,0.0041392
150,44352.9,0.66413,0.3376,0.93631,0.97663,0.97215,0.99027,0.86276,0.5884,0.24785,0.88677,0.0040996,0.0040996,0.0040996
151,44648.1,0.66869,0.33868,0.93865,0.97702,0.97215,0.99035,0.8636,0.58733,0.24699,0.8862,0.00406,0.00406,0.00406
152,44943.2,0.66149,0.3357,0.93493,0.97662,0.97171,0.99035,0.86426,0.58698,0.24721,0.8858,0.0040204,0.0040204,0.0040204
153,45238.4,0.6616,0.33681,0.94052,0.97695,0.97152,0.9904,0.86402,0.58538,0.24658,0.88565,0.0039808,0.0039808,0.0039808
154,45533.4,0.65899,0.3364,0.93814,0.97741,0.9721,0.99056,0.86466,0.58398,0.24619,0.8855,0.0039412,0.0039412,0.0039412
155,45828.7,0.65805,0.33548,0.93606,0.97741,0.97197,0.9906,0.86471,0.5829,0.24556,0.88533,0.0039016,0.0039016,0.0039016
156,46124,0.65793,0.33649,0.93789,0.9774,0.97153,0.99067,0.86517,0.58171,0.24518,0.88495,0.003862,0.003862,0.003862
157,46419.2,0.65047,0.33153,0.93635,0.97834,0.97152,0.99078,0.86547,0.58061,0.2448,0.88473,0.0038224,0.0038224,0.0038224
158,46714.3,0.65142,0.33219,0.93539,0.97886,0.97152,0.99081,0.86532,0.5797,0.24401,0.88434,0.0037828,0.0037828,0.0037828
159,47009.4,0.64617,0.33039,0.93151,0.97954,0.97032,0.99101,0.86566,0.57872,0.24394,0.88393,0.0037432,0.0037432,0.0037432
160,47304.5,0.64838,0.32879,0.9325,0.98049,0.96911,0.99106,0.86608,0.57739,0.24361,0.88353,0.0037036,0.0037036,0.0037036
161,47599.8,0.64404,0.32702,0.92846,0.97973,0.96919,0.99109,0.86609,0.57666,0.2433,0.88329,0.003664,0.003664,0.003664
162,47895,0.64366,0.32956,0.92811,0.97908,0.96951,0.99112,0.86718,0.57541,0.2426,0.88264,0.0036244,0.0036244,0.0036244
163,48190.2,0.64328,0.32678,0.93162,0.97883,0.96951,0.99126,0.86745,0.57447,0.24201,0.88225,0.0035848,0.0035848,0.0035848
164,48485.4,0.64103,0.32684,0.93533,0.97842,0.97032,0.99124,0.86709,0.57348,0.24145,0.88202,0.0035452,0.0035452,0.0035452
165,48780.5,0.63828,0.3264,0.93468,0.97929,0.96911,0.99121,0.86709,0.57288,0.24156,0.88192,0.0035056,0.0035056,0.0035056
166,49075.8,0.63798,0.3249,0.93154,0.97942,0.96911,0.99114,0.86818,0.57137,0.24116,0.88181,0.003466,0.003466,0.003466
167,49371,0.63864,0.32508,0.92945,0.97893,0.96913,0.99109,0.86823,0.57064,0.24112,0.88182,0.0034264,0.0034264,0.0034264
168,49666,0.6342,0.32188,0.92382,0.97932,0.96874,0.99114,0.86871,0.5697,0.2411,0.88132,0.0033868,0.0033868,0.0033868
169,49961.3,0.6363,0.32221,0.92795,0.97972,0.96883,0.99121,0.86863,0.56943,0.2407,0.88107,0.0033472,0.0033472,0.0033472
170,50256.6,0.63373,0.31941,0.92538,0.97923,0.96911,0.99133,0.86894,0.56788,0.24002,0.88057,0.0033076,0.0033076,0.0033076
171,50551.9,0.62869,0.31914,0.92263,0.97973,0.96957,0.99148,0.86935,0.56685,0.23924,0.88014,0.003268,0.003268,0.003268
172,50847,0.62344,0.31886,0.91869,0.98096,0.96951,0.9915,0.87024,0.56574,0.23894,0.87959,0.0032284,0.0032284,0.0032284
173,51142.3,0.62222,0.31637,0.92053,0.98128,0.96951,0.99153,0.87019,0.56422,0.23837,0.87907,0.0031888,0.0031888,0.0031888
174,51437.6,0.61791,0.31381,0.91719,0.98186,0.96992,0.99159,0.87054,0.56344,0.23774,0.87862,0.0031492,0.0031492,0.0031492
175,51732.7,0.61807,0.31457,0.92104,0.98176,0.96992,0.99164,0.87176,0.56186,0.23728,0.87802,0.0031096,0.0031096,0.0031096
176,52027.9,0.62091,0.31558,0.9202,0.98135,0.9711,0.99168,0.87252,0.56067,0.23687,0.87743,0.00307,0.00307,0.00307
177,52323.1,0.614,0.31247,0.92115,0.98168,0.97112,0.99172,0.8724,0.55958,0.23662,0.87711,0.0030304,0.0030304,0.0030304
178,52618.3,0.61497,0.31114,0.918,0.98176,0.97183,0.9918,0.87287,0.55825,0.23657,0.8767,0.0029908,0.0029908,0.0029908
179,52913.4,0.61298,0.30975,0.91907,0.98205,0.97112,0.99186,0.87309,0.55716,0.23567,0.87624,0.0029512,0.0029512,0.0029512
180,53208.6,0.60997,0.30857,0.91434,0.98215,0.97137,0.99192,0.87355,0.55562,0.23538,0.87576,0.0029116,0.0029116,0.0029116
181,53503.7,0.6097,0.30958,0.91708,0.98177,0.97188,0.99195,0.87438,0.55459,0.23471,0.87523,0.002872,0.002872,0.002872
182,53798.9,0.60807,0.31036,0.91627,0.9814,0.97351,0.99198,0.87467,0.55333,0.23409,0.87508,0.0028324,0.0028324,0.0028324
183,54094,0.60008,0.30544,0.90892,0.98141,0.97385,0.992,0.8742,0.55235,0.23369,0.87472,0.0027928,0.0027928,0.0027928
184,54389.4,0.60393,0.30758,0.90974,0.98022,0.97422,0.99202,0.87522,0.55122,0.23314,0.87419,0.0027532,0.0027532,0.0027532
185,54684.7,0.59978,0.30372,0.90732,0.98022,0.97422,0.99209,0.87588,0.55039,0.23251,0.87386,0.0027136,0.0027136,0.0027136
